candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,n_train_unique,n_train_augmented,best_iteration,effective_n_estimators,train_accuracy,train_roc_auc,train_log_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,abs_train_val_auc_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_accuracy_mean,val_precision_mean,val_recall_mean,val_f1_mean,train_roc_auc_mean,train_log_loss_mean,mean_abs_train_val_auc_gap,train_val_auc_gap_mean,best_iterations,median_effective_n_estimators,mean_fit_seconds
local_001,2.0,fold,0.02,2,5,0.7,0.85,2.0,0.01,5.0,2765.0,5530.0,287.0,288.0,0.633996383363472,0.6783607806056785,0.6480856812976656,0.5769662921348314,0.5907407407407408,0.672286617492097,0.6288812222769837,0.59156829850663,0.6780319558842058,0.24255338311195374,0.08679248209904855,0.08679248209904855,0.3303799999994226,,,,,,,,,,,,,,,,
local_001,3.0,fold,0.02,2,5,0.7,0.85,2.0,0.01,5.0,4545.0,9090.0,134.0,135.0,0.6039603960396039,0.6340322011731366,0.6662333947164188,0.5935363579863269,0.5973630831643002,0.6962174940898345,0.6430131004366813,0.6258733566951408,0.6678425491327408,0.2376101315021515,0.008158844477995864,0.008158844477995864,0.2383025999952224,,,,,,,,,,,,,,,,
local_001,4.0,fold,0.02,2,5,0.7,0.85,2.0,0.01,5.0,6154.0,12308.0,330.0,331.0,0.6106597335066624,0.6469147110786704,0.6571962940920608,0.6007462686567164,0.6126760563380281,0.7032332563510393,0.6548387096774193,0.6390669061210261,0.6583123834527753,0.23324048519134521,0.007847804957644255,0.007847804957644255,0.521050399998785,,,,,,,,,,,,,,,,
local_002,1.0,fold,0.02,2,10,0.85,1.0,5.0,0.0,20.0,1221.0,2442.0,78.0,79.0,0.6248976248976249,0.6510115178162004,0.6686192129693145,0.5848445595854922,0.6,0.6404907975460122,0.6195845697329377,0.613871426527641,0.6756342595597662,0.24131470918655396,0.03714009128855933,0.03714009128855933,0.09238220000406727,,,,,,,,,,,,,,,,
local_002,2.0,fold,0.02,2,10,0.85,1.0,5.0,0.0,20.0,2765.0,5530.0,468.0,469.0,0.6397830018083183,0.6903624615869512,0.642306228629291,0.5707865168539326,0.5875118259224219,0.6543730242360379,0.6191425722831505,0.5910173353672685,0.6788990993264044,0.24299879372119904,0.09934512621968272,0.09934512621968272,0.5000491999962833,,,,,,,,,,,,,,,,
local_002,3.0,fold,0.02,2,10,0.85,1.0,5.0,0.0,20.0,4545.0,9090.0,86.0,87.0,0.5984598459845984,0.6266806525791234,0.6715859927653924,0.5929148539465506,0.5954045954045954,0.7044917257683215,0.6453708716838116,0.6250941133822259,0.6712286772453057,0.2391800433397293,0.0015865391968975517,0.0015865391968975517,0.1706287999986671,,,,,,,,,,,,,,,,
local_002,4.0,fold,0.02,2,10,0.85,1.0,5.0,0.0,20.0,6154.0,12308.0,362.0,363.0,0.608547286317842,0.6462003787933001,0.6576539234921919,0.5963930348258707,0.6086086086086087,0.7020785219399538,0.6520107238605898,0.639575798509739,0.6578682069750167,0.23302777111530304,0.0066245802835610546,0.0066245802835610546,0.5643850000051316,,,,,,,,,,,,,,,,
local_003,1.0,fold,0.02,2,40,0.9,0.85,2.0,0.01,10.0,1221.0,2442.0,30.0,31.0,0.6068796068796068,0.6313179402799881,0.6801331054141411,0.5796632124352331,0.5967365967365967,0.6282208588957056,0.6120741183502689,0.6075774024422059,0.6825746254388592,0.24472707509994507,0.023740537837782183,0.023740537837782183,0.05001310000079684,,,,,,,,,,,,,,,,
local_003,2.0,fold,0.02,2,40,0.9,0.85,2.0,0.01,10.0,2765.0,5530.0,816.0,817.0,0.6654611211573237,0.7215126204922124,0.626844000823691,0.5735955056179776,0.5903041825095057,0.6543730242360379,0.6206896551724138,0.5883620607669864,0.6822316996297,0.24450716376304626,0.13315055972522605,0.13315055972522605,0.8224149000016041,,,,,,,,,,,,,,,,
local_003,3.0,fold,0.02,2,40,0.9,0.85,2.0,0.01,10.0,4545.0,9090.0,101.0,102.0,0.5997799779977998,0.6296614252874995,0.6696127219230157,0.5929148539465506,0.596757852077001,0.6962174940898345,0.6426623022367703,0.6247091393001992,0.6700989251297674,0.23865170776844025,0.004952285987300242,0.004952285987300242,0.19367749999946682,,,,,,,,,,,,,,,,
