lambda,fold,row_type,unique_fold_train_matches,augmented_fold_train_observations,fold_validation_matches,iterations_run,converged,converged_by,initial_cost,final_cost,relative_cost_decrease,final_relative_improvement,final_gradient_norm,train_accuracy,train_roc_auc,train_log_loss,train_brier,train_f1,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_acc_gap,train_val_auc_gap,train_val_log_loss_gap,coef_l2_norm,coef_abs_sum,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_f1_mean,train_accuracy_mean,train_roc_auc_mean,train_val_acc_gap_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,mean_iterations,median_iterations,all_folds_converged,n_folds_converged,mean_final_gradient_norm,mean_coef_l2_norm
25.0,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070462951622,0.6682615693580333,0.03528977663482976,2.9478357740207357e-07,0.00044249743010673796,0.5877612692017125,0.6188488094684308,0.6679510396830141,0.23768913719720447,0.6367872198801864,0.5978835978835979,0.6253261871830336,0.6677380058571428,0.237258230692919,0.655440414507772,-0.01012232868188545,-0.006477377714602772,-0.00021303382587123387,0.4441825461678118,0.9743586235592396,,,,,,,,,,,,,,,,,,,
25.0,4.0,fold,5294.0,10588.0,1325.0,10000.0,True,relative_cost_plateau,0.6927036744918621,0.6665534548317982,0.03775094693881422,9.221875436509683e-08,0.0002456549818771195,0.5929353985644126,0.6209473934503505,0.6663208183252869,0.23699734294052663,0.6429163214581607,0.6067924528301887,0.6354617779315116,0.6612231096479353,0.23442632179687314,0.6574621959237343,-0.013857054265776103,-0.014514384481161047,-0.005097708677351598,0.4439058756937672,0.8817080000750916,,,,,,,,,,,,,,,,,,,
50.0,1.0,fold,1323.0,2646.0,1325.0,9100.0,True,relative_cost_plateau,0.6928768963362774,0.6752762705482117,0.025402240832581392,8.950781102249387e-08,0.00024314209636699705,0.5850340136054422,0.6095118697092381,0.67445140299702,0.24072782730071274,0.6308002689979825,0.5690566037735849,0.593013040494166,0.6885372578155269,0.24663249227993597,0.6154882154882155,0.015977409831857248,0.016498829215072064,0.014085854818506882,0.2954724718448979,0.7956414371882312,,,,,,,,,,,,,,,,,,,
50.0,2.0,fold,2648.0,5296.0,1323.0,13800.0,True,relative_cost_plateau,0.6927446332964046,0.6726996967729068,0.028935534914380476,9.355848050311833e-08,0.00024921890760009534,0.5804380664652568,0.611161226315548,0.672144342847465,0.23968194323537986,0.6230064472344757,0.600151171579743,0.6248175943297894,0.6628014807715654,0.23517725244739113,0.6645529486366518,-0.019713105114486207,-0.013656368014241416,-0.009342862075899627,0.34299588272393655,0.749360419296256,,,,,,,,,,,,,,,,,,,
50.0,3.0,fold,3971.0,7942.0,1323.0,19300.0,True,relative_cost_plateau,0.6927070532645618,0.6685653107850839,0.03485130166598384,9.530075822523875e-08,0.0002512557660393117,0.5887685721480735,0.6187654858050726,0.668018716866273,0.23772428226460893,0.6379960097539348,0.600151171579743,0.6253976486860304,0.6673656031786244,0.23711103527285748,0.65848934796643,-0.011382599431669416,-0.006632162880957804,-0.0006531136876486432,0.41670367904278965,0.8996362710784472,,,,,,,,,,,,,,,,,,,
50.0,4.0,fold,5294.0,10588.0,1325.0,9100.0,True,relative_cost_plateau,0.6927036797584609,0.6667822480082927,0.037420664141999085,8.72049191874918e-08,0.00023805315796624534,0.5918020400453343,0.620797936895386,0.6663423592040889,0.2370071509039911,0.6421592978970028,0.6075471698113207,0.6354502478957685,0.6610349528992533,0.23435583572462798,0.6578947368421053,-0.01574512976598641,-0.014652311000382556,-0.005307406304835616,0.4316268137597489,0.8538420987431018,,,,,,,,,,,,,,,,,,,
0.0,,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6712143616882489,0.012344373654578095,0.6190945161884898,0.01726690358731803,0.23882099394883105,0.005459192020245186,0.5942282405624724,0.6486260228336489,0.5859283557083672,0.6152852830700519,-0.0082998848541051,-0.0038092331184377826,0.00114877809384617,17950.0,20000.0,False,1.0,0.000727228506680317,0.44919842740255594
0.001,,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6712143271472784,0.012344338291925853,0.6190939398860462,0.017266688393494517,0.23882097984667536,0.0054591768427061284,0.5942282405624724,0.6486260228336489,0.5859283557083672,0.6152852830700519,-0.0082998848541051,-0.0038086568159942658,0.0011487398415125916,17950.0,20000.0,False,1.0,0.0007271952219789687,0.44919541160916443
0.01,,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6712140163070605,0.012344020057905913,0.6190933537063052,0.017265302732104807,0.2388208529407697,0.005459040260103476,0.5942282405624724,0.6486260228336489,0.5859283557083672,0.6152856987350002,-0.0082998848541051,-0.003807654971305058,0.0011483955995494066,17950.0,20000.0,False,1.0,0.0007268957468016281,0.4491682751974212
0.1,,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.671210910723479,0.012340840666493106,0.6190950551332148,0.01725973624979292,0.23881958521550825,0.0054576759405039026,0.5942282405624724,0.6486260228336489,0.5859283557083672,0.6152905283423116,-0.0082998848541051,-0.003804526790903179,0.0011449560506399947,17950.0,20000.0,False,1.0,0.0007239096022416951,0.44889747710537486
