canonical_model_name,display_name,stage,record,count,unconditional_probability,unconditional_mc_standard_error,unconditional_mc_ci95_low,unconditional_mc_ci95_high,conditional_on_participating_probability,conditional_on_participating_denominator,conditional_mc_standard_error,conditional_mc_ci95_low,conditional_mc_ci95_high
BIG,BIG,stage_2,0-3,3574,0.07148,0.001152133756123828,0.0692218178379973,0.0737381821620027,0.09964591407143056,35867,0.0015815717215265982,0.09654603349723842,0.1027457946456227
BIG,BIG,stage_3,3-0,1277,0.02554,0.000705516950894874,0.024157186776246047,0.026922813223753953,0.0646942600942297,19739,0.001750842585619136,0.06126260862641619,0.0681259115620432
BIG,BIG,stage_3,3-1,2871,0.05742,0.001040412837291044,0.05538079083890955,0.059459209161090446,0.14544809767465425,19739,0.0025093467160111635,0.14052977811127237,0.15036641723803612
BIG,BIG,stage_3,3-2,3737,0.07474,0.0011760436420473518,0.0724349544615872,0.0770450455384128,0.18932063427731902,19739,0.0027884378000445323,0.18385529618923174,0.1947859723654063
BIG,BIG,stage_3,2-3,4212,0.08424,0.0012421241677062725,0.0818054366312957,0.08667456336870429,0.21338466994275293,19739,0.002916085391174489,0.20766914257605093,0.21910019730945493
BIG,BIG,stage_3,1-3,4675,0.0935,0.0013019811826597187,0.09094811688198695,0.09605188311801305,0.2368407720755864,19739,0.0030260300783818425,0.230909753121958,0.2427717910292148
BIG,BIG,stage_3,0-3,2967,0.05934,0.0010565866211532304,0.05726909022253966,0.06141090977746033,0.15031156593545772,19739,0.0025436858813912204,0.14532594160793091,0.15529719026298452
M80,M80,stage_1,3-0,5927,0.11854,0.0014456020780283904,0.11570661992706437,0.12137338007293565,0.11854,50000,0.0014456020780283904,0.11570661992706437,0.12137338007293565
M80,M80,stage_1,3-1,9836,0.19672,0.0017777583727829832,0.19323559358934536,0.20020440641065465,0.19672,50000,0.0017777583727829832,0.19323559358934536,0.20020440641065465
M80,M80,stage_1,3-2,10401,0.20802,0.0018152007029527066,0.2044622066222127,0.21157779337778732,0.20802,50000,0.0018152007029527066,0.2044622066222127,0.21157779337778732
M80,M80,stage_1,2-3,10540,0.2108,0.0018240798228147802,0.207224803547283,0.21437519645271697,0.2108,50000,0.0018240798228147802,0.207224803547283,0.21437519645271697
M80,M80,stage_1,1-3,8977,0.17954,0.0017164229571990698,0.17617581100388982,0.1829041889961102,0.17954,50000,0.0017164229571990698,0.17617581100388982,0.1829041889961102
M80,M80,stage_1,0-3,4319,0.08638,0.0012563319274777665,0.08391758942214357,0.08884241057785643,0.08638,50000,0.0012563319274777665,0.08391758942214357,0.08884241057785643
M80,M80,stage_2,3-0,1316,0.02632,0.0007159225879939813,0.024916791727531796,0.027723208272468203,0.050298119553585076,26164,0.0013511932068400166,0.04764978086817864,0.05294645823899151
M80,M80,stage_2,3-1,2947,0.05894,0.0010532433375056308,0.05687564305848896,0.06100435694151104,0.1126356826173368,26164,0.0019545055497084893,0.10880485173990816,0.11646651349476543
M80,M80,stage_2,3-2,4088,0.08176,0.0012253595586602325,0.07935829526502594,0.08416170473497406,0.15624522244305153,26164,0.0022447057837162534,0.15184559910696768,0.16064484577913538
M80,M80,stage_2,2-3,5555,0.1111,0.0014053952468967583,0.10834542531608236,0.11385457468391764,0.21231463079039903,26164,0.0025282166118550547,0.20735932623116313,0.21726993534963493
M80,M80,stage_2,1-3,6938,0.13876,0.001545999109960934,0.13572984174447655,0.14179015825552344,0.26517352086836876,26164,0.0027290117530423806,0.2598246578324057,0.2705223839043318
M80,M80,stage_2,0-3,5320,0.1064,0.0013789781724160828,0.10369720278206447,0.10910279721793552,0.20333282372725883,26164,0.0024882277984367212,0.19845589724232285,0.20820975021219482
M80,M80,stage_3,3-0,192,0.00384,0.0002765955314172664,0.003297872758422158,0.004382127241577842,0.022991258531912345,8351,0.0016400661132495162,0.01977672894994329,0.026205788113881398
M80,M80,stage_3,3-1,507,0.01014,0.00044804420317642765,0.009261833361774201,0.011018166638225798,0.06071129206083104,8351,0.0026131542529935717,0.05558950972496364,0.06583307439669844
M80,M80,stage_3,3-2,838,0.01676,0.0005740923688745567,0.01563477895700587,0.017885221042994132,0.10034726380074242,8351,0.003287918003181774,0.09390294451450615,0.1067915830869787
M80,M80,stage_3,2-3,1738,0.03476,0.0008191671673107999,0.03315443235207083,0.03636556764792917,0.20811878816908155,8351,0.004442387330546627,0.19941170900121016,0.21682586733695294
M80,M80,stage_3,1-3,2584,0.05168,0.0009900421970805084,0.0497395172937222,0.05362048270627779,0.3094240210753203,8351,0.00505840391393335,0.2995095494040109,0.3193384927466297
M80,M80,stage_3,0-3,2492,0.04984,0.0009732006411835126,0.047932526743280315,0.05174747325671969,0.29840737636211234,8351,0.005007005200425871,0.28859364616927763,0.30822110655494706
MIBR,MIBR,stage_1,3-0,8163,0.16326,0.0016529136238775455,0.1600202892972,0.16649971070279998,0.16326,50000,0.0016529136238775455,0.1600202892972,0.16649971070279998
MIBR,MIBR,stage_1,3-1,11560,0.2312,0.0018854525186278227,0.22750451306348946,0.23489548693651052,0.2312,50000,0.0018854525186278227,0.22750451306348946,0.23489548693651052
