canonical_model_name,display_name,playoff_seed,count,unconditional_probability,unconditional_mc_standard_error,conditional_on_reaching_playoffs_probability,conditional_on_reaching_playoffs_denominator,conditional_mc_standard_error,conditional_mc_ci95_low,conditional_mc_ci95_high
Sharks Esports,Sharks Esports,5,96,0.00192,0.0001957709682256284,0.12015018773466833,799,0.011502522992651915,0.09760524266907059,0.14269513280026608
Sharks Esports,Sharks Esports,6,151,0.00302,0.00024539273012866536,0.18898623279098872,799,0.013850192437156118,0.16183985561416273,0.21613260996781472
Sharks Esports,Sharks Esports,7,128,0.00256,0.00022598435344067517,0.16020025031289112,799,0.012976156535691574,0.13476698350293564,0.1856335171228466
Sharks Esports,Sharks Esports,8,140,0.0028,0.0002363116586205598,0.17521902377972465,799,0.01344889355222131,0.1488591924173709,0.2015788551420784
Gaimin Gladiators,Gaimin Gladiators,1,31,0.00062,0.00011132076176527,0.08516483516483517,364,0.014630221056987592,0.056489601893139486,0.11384006843653086
Gaimin Gladiators,Gaimin Gladiators,2,28,0.00056,0.00010580041587819965,0.07692307692307693,364,0.013966789215433902,0.049548170060826485,0.10429798378532737
Gaimin Gladiators,Gaimin Gladiators,3,29,0.00058,0.00010767205765657123,0.07967032967032966,364,0.014192840657725242,0.051852361981188186,0.10748829735947114
Gaimin Gladiators,Gaimin Gladiators,4,45,0.0009,0.00013410369122436564,0.12362637362637363,364,0.01725240016510889,0.08981166930276022,0.15744107794998705
Gaimin Gladiators,Gaimin Gladiators,5,45,0.0009,0.00013410369122436564,0.12362637362637363,364,0.01725240016510889,0.08981166930276022,0.15744107794998705
Gaimin Gladiators,Gaimin Gladiators,6,60,0.0012,0.00015482635434576375,0.16483516483516483,364,0.01944734602001857,0.12671836663592845,0.20295196303440122
Gaimin Gladiators,Gaimin Gladiators,7,53,0.00106,0.00014552500816010971,0.14560439560439561,364,0.01848698351001738,0.10936990792476155,0.1818388832840297
Gaimin Gladiators,Gaimin Gladiators,8,73,0.00146,0.00017075528688740503,0.20054945054945056,364,0.02098726513614759,0.15941441088260128,0.24168449021629984
Team Liquid,Team Liquid,1,85,0.0017,0.0001842340902221953,0.08157389635316699,1042,0.008479375213903836,0.06495432093391547,0.09819347177241851
Team Liquid,Team Liquid,2,56,0.00112,0.0001495824588646677,0.053742802303262956,1042,0.006986037178168723,0.040050169434052256,0.06743543517247365
Team Liquid,Team Liquid,3,116,0.00232,0.00021515657554441604,0.11132437619961612,1042,0.00974390204816158,0.09222632818521942,0.13042242421401282
Team Liquid,Team Liquid,4,110,0.0022,0.00020953090464177355,0.10556621880998081,1042,0.009519249729309943,0.08690848934053332,0.1242239482794283
Team Liquid,Team Liquid,5,116,0.00232,0.00021515657554441604,0.11132437619961612,1042,0.00974390204816158,0.09222632818521942,0.13042242421401282
Team Liquid,Team Liquid,6,193,0.00386,0.0002773121129702055,0.1852207293666027,1042,0.01203457952713429,0.1616329534934195,0.2088085052397859
Team Liquid,Team Liquid,7,193,0.00386,0.0002773121129702055,0.1852207293666027,1042,0.01203457952713429,0.1616329534934195,0.2088085052397859
Team Liquid,Team Liquid,8,173,0.00346,0.0002626034424755319,0.16602687140115163,1042,0.01152739994513519,0.14343316750868668,0.1886205752936166
Lynn Vision Gaming,Lynn Vision Gaming,1,53,0.00106,0.00014552500816010971,0.07582260371959942,699,0.010012405501512806,0.056198288936634325,0.09544691850256452
Lynn Vision Gaming,Lynn Vision Gaming,2,36,0.00072,0.00011995679222119938,0.05150214592274678,699,0.008359730000234602,0.03511707512228696,0.0678872167232066
Lynn Vision Gaming,Lynn Vision Gaming,3,79,0.00158,0.00017762339935943123,0.11301859799713877,699,0.011975499219266128,0.08954661952737716,0.13649057646690038
Lynn Vision Gaming,Lynn Vision Gaming,4,93,0.00186,0.00019269355983010954,0.13304721030042918,699,0.012845825634809068,0.10786939205620341,0.15822502854465495
Lynn Vision Gaming,Lynn Vision Gaming,5,72,0.00144,0.00016958339541358404,0.10300429184549356,699,0.0114969926842808,0.0804701861843032,0.12553839750668394
Lynn Vision Gaming,Lynn Vision Gaming,6,109,0.00218,0.00020857840731964563,0.15593705293276108,699,0.013722191984845743,0.12904155664246342,0.18283254922305875
Lynn Vision Gaming,Lynn Vision Gaming,7,124,0.00248,0.0002224342419682725,0.17739628040057226,699,0.01444870756706398,0.14907681356912686,0.20571574723201766
Lynn Vision Gaming,Lynn Vision Gaming,8,133,0.00266,0.0002303442814571267,0.19027181688125894,699,0.014846301379064158,0.1611730661782932,0.21937056758422468
THUNDERdOWNUNDER,THUNDERdOWNUNDER,1,12,0.00024,6.927371795998825e-05,0.07741935483870968,155,0.021466492769876177,0.03534502900975237,0.119493680667667
THUNDERdOWNUNDER,THUNDERdOWNUNDER,2,15,0.0003,7.744804710255772e-05,0.0967741935483871,155,0.023747183060305366,0.05022971475018858,0.1433186723465856
THUNDERdOWNUNDER,THUNDERdOWNUNDER,3,19,0.00038,8.716141348096644e-05,0.12258064516129032,155,0.026341997694486585,0.07095032968009661,0.17421096064248404
THUNDERdOWNUNDER,THUNDERdOWNUNDER,4,13,0.00026,7.210165046654618e-05,0.08387096774193549,155,0.022264774509259514,0.04023200970378684,0.12750992578008413
THUNDERdOWNUNDER,THUNDERdOWNUNDER,5,17,0.00034,8.244809276144598e-05,0.10967741935483871,155,0.025099580132524973,0.060482242295089764,0.15887259641458767
THUNDERdOWNUNDER,THUNDERdOWNUNDER,6,16,0.00032,7.998719897583612e-05,0.1032258064516129,155,0.024438235422020758,0.05532686502445222,0.15112474787877359
THUNDERdOWNUNDER,THUNDERdOWNUNDER,7,26,0.00052,0.00010195387192255134,0.16774193548387098,155,0.03001124290016787,0.10891989939954196,0.22656397156820002
THUNDERdOWNUNDER,THUNDERdOWNUNDER,8,37,0.00074,0.00012161022983285576,0.23870967741935484,155,0.034240832757217766,0.171597645215208,0.30582170962350164
FlyQuest,FlyQuest,1,163,0.00326,0.0002549263579938332,0.06930272108843537,2352,0.005236736320136671,0.05903871790096749,0.07956672427590325
FlyQuest,FlyQuest,2,137,0.00274,0.0002337730694498406,0.05824829931972789,2352,0.004829377703979072,0.04878271901992891,0.06771387961952688
FlyQuest,FlyQuest,3,285,0.0057,0.00033667521441294127,0.1211734693877551,2352,0.006728785625707055,0.10798504956136927,0.13436188921414094
FlyQuest,FlyQuest,4,269,0.00538,0.0003271408137178851,0.11437074829931973,2352,0.006562431737020196,0.10150838209476015,0.1272331145038793
FlyQuest,FlyQuest,5,280,0.0056,0.00033372563581481117,0.11904761904761904,2352,0.006677561785368337,0.1059595979482971,0.13213564014694099
FlyQuest,FlyQuest,6,411,0.00822,0.0004037928082569079,0.1747448979591837,2352,0.007830287399820215,0.15939753465553608,0.1900922612628313
FlyQuest,FlyQuest,7,377,0.00754,0.0003868629834967414,0.1602891156462585,2352,0.0075648139078706884,0.14546208038683195,0.17511615090568505
FlyQuest,FlyQuest,8,430,0.0086,0.00041294164236608546,0.1828231292517007,2352,0.007969938007677542,0.1672020507566527,0.19844420774674867
FUT Esports,FUT Esports,1,857,0.01714,0.0005804518998159967,0.0828980460437222,10338,0.0027118314463777204,0.07758285640882187,0.08821323567862252
FUT Esports,FUT Esports,2,735,0.0147,0.0005382176139815567,0.07109692396982008,10338,0.002527506855501915,0.06614301053303633,0.07605083740660383
FUT Esports,FUT Esports,3,1271,0.02542,0.0007039008964335818,0.12294447668794738,10338,0.0032296078453839527,0.11661444531099482,0.12927450806489993
FUT Esports,FUT Esports,4,1165,0.0233,0.0006746422755801774,0.1126910427548849,10338,0.003110024910925296,0.10659539392947132,0.11878669158029848
FUT Esports,FUT Esports,5,1169,0.02338,0.0006757717898817618,0.1130779647900948,10338,0.0031146801148651273,0.10697319176495915,0.11918273781523045
FUT Esports,FUT Esports,6,1688,0.03376,0.0008077160689252133,0.16328109885858,10338,0.0036352935268450866,0.15615592354596364,0.17040627417119636
FUT Esports,FUT Esports,7,1654,0.03308,0.0007998214000637892,0.1599922615592958,10338,0.003605561172385199,0.15292536166142082,0.16705916145717079
FUT Esports,FUT Esports,8,1799,0.03598,0.0008328918249088533,0.17401818533565486,10338,0.003728758846210379,0.1667098179970825,0.1813265526742272
Team Spirit,Team Spirit,1,7280,0.1456,0.0015773435897102445,0.19318543679014966,37684,0.002033740601283066,0.18919930521163486,0.19717156836866445
Team Spirit,Team Spirit,2,4700,0.094,0.001305097697492414,0.12472136715847575,37684,0.0017020217170127434,0.12138540459313077,0.12805732972382072
Team Spirit,Team Spirit,3,5561,0.11122,0.0014060591139777871,0.1475692601634646,37684,0.0018270439885732718,0.143988253945861,0.1511502663810682
Team Spirit,Team Spirit,4,5064,0.10128,0.0013492395013488152,0.13438063899798322,37684,0.0017569254512349816,0.13093706511356265,0.1378242128824038
Team Spirit,Team Spirit,5,4919,0.09838,0.0013319262412010658,0.13053285213883875,37684,0.001735433612397009,0.1271314022585406,0.1339343020191369
Team Spirit,Team Spirit,6,3501,0.07002,0.00114120287065885,0.09290415030251566,37684,0.001495428489652674,0.08997311046279642,0.09583519014223489
Team Spirit,Team Spirit,7,3504,0.07008,0.0011416548830535435,0.0929837596858083,37684,0.0014960034161796596,0.09005159299009617,0.09591592638152042
Team Spirit,Team Spirit,8,3155,0.0631,0.001087367371222808,0.08372253476276403,37684,0.001426777294848111,0.08092605126486174,0.08651901826066632
Astralis,Astralis,1,761,0.01522,0.0005475098464868006,0.07632133186240096,9971,0.0026589738675657144,0.07110974308197217,0.08153292064282976
Astralis,Astralis,2,629,0.01258,0.0004984324146762527,0.06308294052752984,9971,0.0024346536047044165,0.05831101946230919,0.0678548615927505
Astralis,Astralis,3,1186,0.02372,0.0006805492135033293,0.11894494032694815,9971,0.003241941344693909,0.11259073529134808,0.12529914536254821
Astralis,Astralis,4,1152,0.02304,0.0006709569047263766,0.11553505164978438,9971,0.003201310775601825,0.1092604825296048,0.12180962076996396
Astralis,Astralis,5,1146,0.02292,0.0006692484381752414,0.11493330658910841,9971,0.00319404912564438,0.10867297030284542,0.1211936428753714
Astralis,Astralis,6,1616,0.03232,0.0007908908597271813,0.16207000300872532,9971,0.0036905052795085038,0.15483661266088866,0.16930339335656197
Astralis,Astralis,7,1711,0.03422,0.0008130066617193244,0.17159763313609466,9971,0.003775782367673459,0.16419709969545468,0.17899816657673465
Astralis,Astralis,8,1770,0.0354,0.0008263999031945733,0.17751479289940827,9971,0.003826590286464989,0.1700146759379369,0.18501490986087965
G2 Esports,G2 Esports,1,1182,0.02364,0.0006794284421482515,0.08261112664243779,14308,0.00230147648025962,0.07810023274112894,0.08712202054374664
