stage,round,best_of,team_a,team_b,times_matchup_occurred,fraction_of_simulations,model_probability_team_a,team_a_win_count,team_b_win_count
playoffs,1,3,BIG,Sharks Esports,6,0.00012,0.6673726775471175,5,1
playoffs,1,3,BIG,Sinners Esports,38,0.00076,0.5913164085231608,22,16
playoffs,1,3,BIG,THUNDERdOWNUNDER,2,4e-05,0.6996473214926983,2,0
playoffs,1,3,BIG,TYLOO,4,8e-05,0.6134046805116997,2,2
playoffs,1,3,BIG,Team Falcons,273,0.00546,0.3860529516480409,122,151
playoffs,1,3,BIG,Team Liquid,10,0.0002,0.6067005391598723,5,5
playoffs,1,3,BIG,Team Spirit,292,0.00584,0.2531405177646207,84,208
playoffs,1,3,BIG,Team Vitality,295,0.0059,0.27516186042760804,73,222
playoffs,1,3,BIG,The Mongolz,237,0.00474,0.4524022302882556,96,141
playoffs,1,3,BIG,paiN Gaming,47,0.00094,0.5740715465252678,28,19
playoffs,1,3,BetBoom Team,9z Team,83,0.00166,0.616186459421388,53,30
playoffs,1,3,BetBoom Team,Astralis,154,0.00308,0.5795826638737739,73,81
playoffs,1,3,BetBoom Team,Aurora Gaming,389,0.00778,0.5326057852905983,203,186
playoffs,1,3,BetBoom Team,B8 Esports,88,0.00176,0.5841325631023765,50,38
playoffs,1,3,BetBoom Team,BIG,122,0.00244,0.5323420109579063,66,56
playoffs,1,3,BetBoom Team,FURIA Esports,372,0.00744,0.4587184990813948,164,208
playoffs,1,3,BetBoom Team,FUT Esports,164,0.00328,0.5553126500300316,101,63
playoffs,1,3,BetBoom Team,FlyQuest,47,0.00094,0.6153041171114118,36,11
playoffs,1,3,BetBoom Team,G2 Esports,210,0.0042,0.5045951382182355,105,105
playoffs,1,3,BetBoom Team,Gaimin Gladiators,6,0.00012,0.7291772749254506,5,1
playoffs,1,3,BetBoom Team,GamerLegion,141,0.00282,0.4893427988551112,62,79
playoffs,1,3,BetBoom Team,Heroic,47,0.00094,0.6717388358843791,33,14
playoffs,1,3,BetBoom Team,Legacy,214,0.00428,0.5218242350615044,114,100
playoffs,1,3,BetBoom Team,Lynn Vision Gaming,14,0.00028,0.7085868504366631,13,1
playoffs,1,3,BetBoom Team,M80,18,0.00036,0.6621855701459298,14,4
playoffs,1,3,BetBoom Team,MIBR,31,0.00062,0.6373574800576594,20,11
playoffs,1,3,BetBoom Team,MOUZ,508,0.01016,0.4543596994085895,236,272
playoffs,1,3,BetBoom Team,Monte,104,0.00208,0.6621989858901375,65,39
playoffs,1,3,BetBoom Team,NRG Esports,3,6e-05,0.7774739528140124,3,0
playoffs,1,3,BetBoom Team,Natus Vincere,508,0.01016,0.42340611179286713,216,292
playoffs,1,3,BetBoom Team,PARIVISION,289,0.00578,0.5728009787707756,163,126
playoffs,1,3,BetBoom Team,Sharks Esports,15,0.0003,0.7206149885896598,12,3
playoffs,1,3,BetBoom Team,Sinners Esports,72,0.00144,0.6354565344989138,44,28
playoffs,1,3,BetBoom Team,THUNDERdOWNUNDER,3,6e-05,0.7212650789176434,3,0
playoffs,1,3,BetBoom Team,TYLOO,14,0.00028,0.6904875176894828,8,6
playoffs,1,3,BetBoom Team,Team Falcons,459,0.00918,0.440040757285089,189,270
playoffs,1,3,BetBoom Team,Team Liquid,19,0.00038,0.7088961645965903,16,3
playoffs,1,3,BetBoom Team,Team Spirit,524,0.01048,0.3472916479631338,193,331
playoffs,1,3,BetBoom Team,Team Vitality,481,0.00962,0.31644528109603565,163,318
playoffs,1,3,BetBoom Team,The Mongolz,389,0.00778,0.47923954468882085,185,204
playoffs,1,3,BetBoom Team,paiN Gaming,100,0.002,0.6154976396366945,59,41
