state_type,match_id,deployment_history_status,eligible_for_state,consumed_by_state,eligibility_reason
form,787379,included,True,True,both sides identity-eligible: both histories updated
form,787380,included,True,True,both sides identity-eligible: both histories updated
form,787381,included,True,True,both sides identity-eligible: both histories updated
form,787382,included,True,True,both sides identity-eligible: both histories updated
form,787383,included,True,True,both sides identity-eligible: both histories updated
form,787384,included,True,True,both sides identity-eligible: both histories updated
form,790966,included,True,True,both sides identity-eligible: both histories updated
form,790976,included,True,True,both sides identity-eligible: both histories updated
form,792766,included,True,True,both sides identity-eligible: both histories updated
form,792767,included,True,True,both sides identity-eligible: both histories updated
form,792768,included,True,True,both sides identity-eligible: both histories updated
form,792769,included,True,True,both sides identity-eligible: both histories updated
form,794080,included,True,True,both sides identity-eligible: both histories updated
form,794081,included,True,True,both sides identity-eligible: both histories updated
form,794083,included,True,True,both sides identity-eligible: both histories updated
form,794088,included,True,True,both sides identity-eligible: both histories updated
form,794089,included,True,True,team2_not_identity_eligible - only the eligible side's own history updated
form,794090,included,True,True,both sides identity-eligible: both histories updated
form,794092,included,True,True,both sides identity-eligible: both histories updated
form,794633,included,True,True,both sides identity-eligible: both histories updated
form,794634,included,True,True,team2_not_identity_eligible - only the eligible side's own history updated
form,794635,included,True,True,both sides identity-eligible: both histories updated
form,794636,included,True,True,both sides identity-eligible: both histories updated
form,794637,included,True,True,both sides identity-eligible: both histories updated
form,794638,included,True,True,both sides identity-eligible: both histories updated
form,794639,included,True,True,both sides identity-eligible: both histories updated
form,794641,included,True,True,both sides identity-eligible: both histories updated
form,794642,included,True,True,both sides identity-eligible: both histories updated
form,794644,included,True,True,both sides identity-eligible: both histories updated
form,794645,included,True,True,both sides identity-eligible: both histories updated
form,794647,included,True,True,both sides identity-eligible: both histories updated
form,795943,included,True,True,both sides identity-eligible: both histories updated
form,795995,included,True,True,both sides identity-eligible: both histories updated
form,796253,included,True,True,both sides identity-eligible: both histories updated
form,796336,included,True,True,both sides identity-eligible: both histories updated
form,796377,included,True,True,both sides identity-eligible: both histories updated
form,796378,included,True,True,both sides identity-eligible: both histories updated
form,796381,included,True,True,both sides identity-eligible: both histories updated
form,796508,included,True,True,both sides identity-eligible: both histories updated
form,797870,included,True,True,both sides identity-eligible: both histories updated
form,797872,included,True,True,both sides identity-eligible: both histories updated
form,797873,included,True,True,both sides identity-eligible: both histories updated
form,797874,included,True,True,both sides identity-eligible: both histories updated
form,797875,included,True,True,team2_not_identity_eligible - only the eligible side's own history updated
form,797876,included,True,True,both sides identity-eligible: both histories updated
form,797878,included,True,True,both sides identity-eligible: both histories updated
form,797879,included,True,True,both sides identity-eligible: both histories updated
form,797880,included,True,True,both sides identity-eligible: both histories updated
form,797881,included,True,True,both sides identity-eligible: both histories updated
form,798969,included,True,True,both sides identity-eligible: both histories updated
form,799131,included,True,True,both sides identity-eligible: both histories updated
form,799132,included,True,True,both sides identity-eligible: both histories updated
form,799363,included,True,True,both sides identity-eligible: both histories updated
form,799496,included,True,True,both sides identity-eligible: both histories updated
form,799585,included,True,True,both sides identity-eligible: both histories updated
form,800021,included,True,True,both sides identity-eligible: both histories updated
form,800022,included,True,True,both sides identity-eligible: both histories updated
form,800023,included,True,True,both sides identity-eligible: both histories updated
form,800024,included,True,True,both sides identity-eligible: both histories updated
form,800025,included,True,True,both sides identity-eligible: both histories updated
form,800026,included,True,True,both sides identity-eligible: both histories updated
form,800038,included,True,True,both sides identity-eligible: both histories updated
form,800315,included,True,True,both sides identity-eligible: both histories updated
form,800316,included,True,True,both sides identity-eligible: both histories updated
form,800317,included,True,True,both sides identity-eligible: both histories updated
form,801291,included,True,True,both sides identity-eligible: both histories updated
