team_id,team_name
268222,FURIA Esports
268230,FaZe Clan
268220,Team 3DMAX
268228,The Mongolz
268226,Team Liquid
268218,Aurora Gaming
268224,Team Falcons
268216,G2 Esports
267888,FURIA Esports
267880,FaZe Clan
267886,Team Liquid
267878,Aurora Gaming
267876,Team Falcons
267884,G2 Esports
267882,Virtus.pro
267874,The Mongolz
267356,Ninjas in Pyjamas
267354,Metizport
267352,B8 Esports
267334,Metizport
267346,Fnatic
267298,GUN5
267318,Nemiga Gaming
267316,9INE
267302,CYBERSHOKE Esports
267350,Ninjas in Pyjamas
267330,TEAM NEXT LEVEL
267300,PARIVISION
267328,BetBoom Team
267348,Fire Flux Esports
267314,Novaq
267332,TEAM NEXT LEVEL
267292,CYBERSHOKE Esports
267312,Nemiga Gaming
267338,Ninjas in Pyjamas
267344,Fire Flux Esports
267308,Wild Lotus
267294,PARIVISION
267324,9Pandas
267296,B8 Esports
267326,Monte
267342,JANO Esports
267310,Partizan Esports
267288,GUN5
267304,Wild Lotus
267336,Fnatic
267320,9Pandas
267272,Ninjas in Pyjamas
267276,Partizan Esports
267284,TEAM NEXT LEVEL
267280,B8 Esports
267290,ECSTATIC
267306,Dynamo Eclot
267340,AMKAL Esports
267322,Leo Team
267282,Roler Coaster
267278,Mercenaires
267286,BetBoom Team
267274,Passion UA
267252,Sangal Esports
267244,Iberian Soul
267260,Fire Flux Esports
267236,PARIVISION
267250,9Pandas
267258,Fnatic
267242,Dynamo Eclot
267234,GUN5
267248,Monte
267232,Sashi Esport
267240,Nemiga Gaming
267246,BetBoom Team
267256,GTZ.ESPORTS
267238,Partizan Esports
267254,Passion UA
267230,B8 Esports
265772,Team Vitality
265768,Team Spirit
265770,Eternal Fire
265764,Team Spirit
265766,MOUZ
265804,The Mongolz
265794,Eternal Fire
265788,Virtus.pro
265778,MOUZ
265802,G2 Esports
265800,The Mongolz
265786,Team Spirit
265784,Virtus.pro
265792,Natus Vincere
265790,G2 Esports
265798,FURIA Esports
265796,Imperial Esports
265776,Virtus.pro
265774,Team Spirit
265782,FaZe Clan
265780,The Huns Esports
265558,Natus Vincere
265560,M80
265556,Eternal Fire
265554,G2 Esports
265550,FaZe Clan
265552,Astralis
265548,MOUZ
265546,Team Spirit
267172,Ninjas in Pyjamas
267168,Hesta
267170,Wild Lotus
267164,Wild Lotus
267160,Nuclear TigeRES
267162,Ninjas in Pyjamas
267166,ghoulsW
267146,Zero Tenacity
267150,kONO
267158,XI Esport
267152,Wild Lotus
267156,ghoulsW
267148,bombardino crocodilo
267144,Nuclear TigeRES
267154,underrated
